full_name,login,age,sex,user_role,password
Березуцкий Иван Викторович,IVBerezutskij,19,M,STUDENT,qwerty
Белушкин Антон Романович,ARBelushkin,19,M,STUDENT,qwerty
Смыслов Алексей Михайлович,AMSmyslov,30,M,ADMIN,qwerty
Смыслов Алексей Михайлович,AMSmyslov,30,M,ADMIN,qwerty
Смыслов Алексей Михайлович,AMSmyslov,30,M,ADMIN,qwerty
Смыслов Алексей Михайлович,AMSmyslov,30,M,ADMIN,qwerty
Смыслов Алексей Михайлович,AMSmyslov,30,M,ADMIN,qwerty
Смыслов Алексей Михайлович,AMSmyslov,30,M,ADMIN,qwerty
Смыслов Алексей Михайлович,AMSmyslov,30,M,ADMIN,qwerty
Смыслов Алексей Михайлович,AMSmyslov,30,M,ADMIN,qwerty
Смыслов Алексей Михайлович,AMSmyslov,30,M,ADMIN,qwerty
Смыслов Алексей Михайлович,AMSmyslov,30,M,ADMIN,qwerty
Смыслов Алексей Михайлович,AMSmyslov,30,M,ADMIN,qwerty
